Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
52,Stew Johnson\johnsst01,PF,31,SDS,10,,22.7,4.0,11.9,.336,0.0,0.5,.000,4.0,11.4,.351,.336,1.6,1.8,.889,1.2,1.7,2.9,0.8,0.6,0.1,1.1,1.9,9.6
52,Stew Johnson\johnsst01,PF,31,SAA,10,,12.3,2.1,7.8,.269,0.1,0.8,.125,2.0,7.0,.286,.276,0.2,0.4,.500,1.0,0.9,1.9,1.5,0.2,0.0,0.2,1.6,4.5
53,Bobby Jones*\jonesbo01,PF,24,DNA,83,,34.3,6.1,10.6,.581,0.0,0.0,,6.1,10.6,.581,.581,2.6,3.7,.698,2.9,6.6,9.5,4.0,2.0,2.2,2.8,3.0,14.9
54,Caldwell Jones\jonesca01,C,25,TOT,76,,35.2,5.6,11.8,.470,0.0,0.1,.000,5.6,11.8,.474,.470,1.8,2.4,.753,3.2,8.0,11.2,1.9,1.1,2.9,2.2,4.2,13.0
54,Caldwell Jones\jonesca01,C,25,SDS,10,,40.7,6.9,16.0,.431,0.0,0.0,,6.9,16.0,.431,.431,2.1,3.3,.636,4.2,9.4,13.6,2.2,1.3,3.7,2.3,4.2,15.9
54,Caldwell Jones\jonesca01,C,25,KEN,15,,30.5,5.3,11.4,.468,0.0,0.0,,5.3,11.4,.468,.468,1.7,2.5,.703,3.9,6.6,10.5,0.9,1.1,1.1,2.4,4.9,12.4
54,Caldwell Jones\jonesca01,C,25,SSL,51,,35.5,5.4,11.2,.482,0.0,0.1,.000,5.4,11.0,.488,.482,1.8,2.3,.802,2.8,8.1,11.0,2.2,1.0,3.2,2.1,4.0,12.6
55,Rich Jones\jonesri01,PF,29,NYA,83,,29.2,5.3,13.9,.382,0.2,0.8,.224,5.1,13.1,.392,.389,2.4,3.1,.762,1.2,3.9,5.2,1.6,1.0,0.3,1.9,3.5,13.2
56,Wil Jones\joneswi02,PF,28,KEN,83,,31.7,5.8,12.2,.476,0.0,0.1,.500,5.8,12.2,.476,.477,1.9,2.5,.775,2.9,4.6,7.5,2.5,1.0,0.7,2.4,3.9,13.6
57,Charles Jordan\jordach01,SF,22,INA,71,,12.0,2.3,5.3,.434,0.0,0.1,.200,2.3,5.1,.441,.437,0.6,1.0,.597,1.3,1.7,3.0,0.7,0.5,0.2,1.2,2.6,5.2
58,Kevin Joyce\joyceke01,SG-PG,24,TOT,43,,21.3,2.7,7.2,.367,0.0,0.3,.167,2.6,7.0,.375,.370,1.3,1.7,.743,0.2,1.0,1.1,3.0,0.7,0.1,2.1,2.2,6.6
58,Kevin Joyce\joyceke01,PG,24,SDS,9,,29.6,4.0,12.0,.333,0.1,0.6,.200,3.9,11.4,.340,.338,2.4,3.6,.688,0.1,0.7,0.8,5.2,1.3,0.0,3.8,2.3,10.6
58,Kevin Joyce\joyceke01,SG,24,KEN,34,,19.1,2.3,6.0,.384,0.0,0.2,.143,2.3,5.8,.393,.387,1.0,1.2,.786,0.2,1.1,1.2,2.4,0.6,0.1,1.7,2.2,5.6
59,George Karl\karlge01,PG,24,SAA,75,,16.0,2.0,4.5,.449,0.0,0.1,.000,2.0,4.3,.462,.449,1.1,1.4,.764,0.2,0.7,0.9,3.3,0.8,0.0,1.4,2.0,5.1
60,Bill Keller\kellebi01,SG,28,INA,78,,29.6,5.3,13.0,.406,1.6,4.5,.352,3.7,8.5,.434,.466,2.1,2.3,.896,1.0,1.9,2.9,3.9,0.8,0.1,1.9,1.5,14.2
61,Goo Kennedy\kennego01,SF,26,UTS,16,,16.9,2.4,4.3,.551,0.0,0.0,,2.4,4.3,.551,.551,1.5,2.3,.649,1.9,3.1,5.0,0.7,0.6,0.1,0.8,2.7,6.3
62,Larry Kenon\kenonla01,PF,23,SAA,81,,36.0,8.0,16.6,.481,0.0,0.0,.000,8.0,16.6,.482,.481,2.7,3.5,.781,3.5,7.5,11.1,1.9,1.1,0.5,3.0,2.0,18.7
63,Billy Knight\knighbi01,SF,23,INA,70,,39.6,11.1,22.4,.494,0.1,0.2,.400,11.0,22.2,.495,.496,5.9,7.2,.828,4.2,5.9,10.1,3.7,1.3,0.3,4.3,2.9,28.1
64,Bo Lamar\lamarbo01,SG-PG,24,TOT,41,,27.6,6.8,16.3,.415,0.6,2.1,.279,6.2,14.2,.435,.433,1.9,2.6,.745,1.1,1.7,2.8,4.2,1.0,0.0,2.3,1.4,16.0
64,Bo Lamar\lamarbo01,PG,24,SDS,6,,37.0,8.0,18.8,.425,0.5,1.3,.375,7.5,17.5,.429,.438,1.8,2.3,.786,1.5,1.5,3.0,6.0,1.0,0.2,3.3,2.0,18.3
64,Bo Lamar\lamarbo01,SG,24,INA,35,,25.9,6.5,15.9,.413,0.6,2.2,.269,5.9,13.6,.436,.432,1.9,2.6,.739,1.1,1.7,2.8,3.9,1.0,0.0,2.1,1.3,15.6
65,Freddie Lewis\lewisfr02,PG,32,SSL,74,,30.6,5.4,12.9,.423,0.4,1.4,.292,5.0,11.4,.439,.439,3.5,4.3,.817,0.9,2.0,2.9,4.0,1.5,0.1,2.6,2.5,14.8
66,Maurice Lucas\lucasma01,PF-C,23,TOT,86,,33.3,7.2,15.7,.461,0.0,0.2,.167,7.2,15.4,.465,.462,2.5,3.3,.767,3.5,7.8,11.3,2.6,0.9,0.7,3.5,3.9,17.0
66,Maurice Lucas\lucasma01,C,23,SSL,28,,38.0,9.0,19.6,.460,0.0,0.4,.000,9.0,19.2,.469,.460,2.4,3.3,.731,3.8,11.3,15.1,2.8,0.7,0.8,4.0,3.7,20.4
66,Maurice Lucas\lucasma01,PF,23,KEN,58,,31.0,6.3,13.8,.461,0.1,0.1,.429,6.3,13.6,.461,.463,2.6,3.3,.784,3.3,6.2,9.4,2.5,1.0,0.6,3.2,3.9,15.3
67,Moses Malone*\malonmo01,PF,20,SSL,43,,27.2,5.8,11.4,.512,0.0,0.0,.000,5.8,11.3,.514,.512,2.6,4.3,.612,4.6,5.0,9.6,1.3,0.6,0.7,3.3,2.6,14.3
68,Ed Manning\mannied01,SF,32,INA,12,,11.2,2.0,5.0,.400,0.0,0.0,,2.0,5.0,.400,.400,1.0,1.4,.706,1.3,1.8,3.1,1.2,0.3,0.2,0.6,1.5,5.0
69,Ted McClain\mcclate01,SG,29,TOT,73,,26.4,3.7,8.6,.423,0.0,0.2,.250,3.6,8.5,.426,.426,1.9,2.3,.800,0.7,2.1,2.8,4.2,1.9,0.3,2.7,3.8,9.2
69,Ted McClain\mcclate01,SG,29,KEN,43,,28.6,3.2,7.6,.424,0.0,0.0,.500,3.2,7.6,.423,.425,1.3,1.6,.783,0.6,2.6,3.1,4.7,1.9,0.3,2.5,3.8,7.7
