Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
89,Ralph Simpson\simpsra01,SG,26,DNA,84,,37.2,7.4,14.4,.511,0.0,0.3,.167,7.3,14.1,.518,.513,3.3,4.2,.780,1.4,4.0,5.4,7.1,1.8,0.3,4.3,2.2,18.0
90,Al Skinner\skinnal01,SG,23,NYA,83,,25.1,4.0,8.5,.470,0.0,0.1,.250,4.0,8.4,.473,.472,2.4,2.9,.842,1.2,2.5,3.7,3.4,1.1,0.6,2.0,3.0,10.4
91,Al Smith\smithal01,PG,29,UTS,15,,26.1,2.8,7.0,.400,0.4,1.1,.353,2.4,5.9,.409,.429,3.2,3.9,.814,0.9,1.6,2.5,4.9,0.7,0.1,1.9,3.0,9.2
92,Ken Smith\smithke02,SF,22,SAA,19,,8.6,1.8,4.4,.410,0.1,0.3,.200,1.7,4.1,.423,.416,0.7,0.8,.813,0.5,0.8,1.3,0.4,0.2,0.0,0.4,1.2,4.3
93,Brian Taylor\taylobr01,PG,24,NYA,54,,32.1,6.6,13.4,.489,0.6,1.4,.421,6.0,12.0,.497,.511,3.0,3.8,.792,1.3,1.7,3.0,3.8,2.3,0.4,2.8,2.6,16.7
94,Fatty Taylor\taylofa01,PG,29,VIR,76,,32.7,3.2,7.9,.405,0.1,0.7,.216,3.1,7.2,.423,.414,1.6,2.3,.723,1.5,2.9,4.5,5.3,2.7,0.2,3.3,2.8,8.2
95,Chuck Terry\terrych01,SF,25,NYA,66,,14.7,1.5,3.7,.390,0.1,0.3,.286,1.4,3.4,.400,.402,0.3,0.4,.759,0.7,1.5,2.2,0.6,0.5,0.1,0.3,1.8,3.3
96,Claude Terry\terrycl01,SG,26,DNA,79,,17.1,2.9,6.3,.464,0.2,0.7,.236,2.8,5.6,.492,.477,1.0,1.1,.899,0.5,1.4,1.9,1.8,0.5,0.1,1.2,1.5,7.1
97,Ronald Thomas\thomaro01,PF,25,KEN,83,,13.5,1.6,3.3,.484,0.0,0.0,.500,1.6,3.3,.484,.486,0.7,1.1,.585,1.8,2.7,4.5,0.8,0.7,0.2,0.9,2.0,3.9
98,David Thompson*\thompda01,SF,21,DNA,83,,37.4,9.7,18.9,.515,0.0,0.2,.158,9.7,18.7,.519,.516,6.5,8.2,.794,2.7,3.6,6.3,3.7,1.6,1.2,3.0,3.4,26.0
99,Monte Towe\towemo01,PG,22,DNA,64,,9.0,1.1,2.8,.402,0.1,0.7,.214,1.0,2.1,.460,.427,0.6,0.7,.818,0.1,0.8,0.9,2.1,0.6,0.1,1.3,1.3,3.0
100,Dave Twardzik\twardda01,PG,25,VIR,43,,20.3,2.3,5.0,.463,0.1,0.4,.188,2.3,4.7,.485,.470,2.6,3.2,.813,0.7,1.4,2.1,2.9,1.4,0.1,2.2,2.5,7.3
101,Jan van Breda Kolff\vanbrja01,SF,24,TOT,80,,24.7,2.8,6.1,.457,0.0,0.1,.333,2.8,6.0,.459,.459,2.1,2.5,.833,1.8,3.7,5.5,2.3,0.8,1.2,1.8,2.1,7.7
101,Jan van Breda Kolff\vanbrja01,SF,24,VIR,37,,30.2,3.5,8.0,.432,0.0,0.1,.250,3.4,7.9,.435,.434,2.9,3.5,.838,2.2,4.3,6.5,2.7,1.0,1.5,2.2,2.1,9.9
101,Jan van Breda Kolff\vanbrja01,SF,24,KEN,43,,20.0,2.2,4.5,.495,0.0,0.0,.500,2.2,4.4,.495,.497,1.3,1.6,.824,1.5,3.1,4.5,1.9,0.7,1.0,1.5,2.0,5.7
102,Dennis Van Zant\vanzade01,PF,23,SAA,1,,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
103,David Vaughn\vaughda01,C,23,VIR,10,,8.6,1.2,3.3,.364,0.0,0.0,,1.2,3.3,.364,.364,0.5,0.8,.625,0.8,1.1,1.9,0.3,0.0,0.2,0.5,1.5,2.9
104,Henry Ward\wardhe01,SG,24,SAA,61,,11.3,2.5,5.5,.462,0.1,0.4,.261,2.4,5.1,.477,.471,0.3,0.4,.593,0.7,1.6,2.3,0.6,0.3,0.2,0.7,1.6,5.4
105,Bob Warren\warrebo01,SG,29,SDS,10,,26.5,3.6,8.1,.444,0.1,0.3,.333,3.5,7.8,.449,.451,2.8,3.2,.875,2.7,3.2,5.9,2.3,0.9,0.6,2.3,3.5,10.1
106,Donald Washington\washido01,PF,23,UTS,6,,9.7,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,0.7,1.5,2.2,0.5,0.2,0.2,0.5,3.2,4.0
107,Marvin Webster\webstma01,C,23,DNA,38,,10.5,1.4,3.2,.458,0.0,0.0,.000,1.4,3.1,.462,.458,1.4,2.1,.705,1.7,2.9,4.6,0.8,0.2,1.4,1.0,1.6,4.3
108,Chuck Williams\willich02,PG,29,DNA,79,,32.0,4.3,8.4,.514,0.0,0.1,.000,4.3,8.3,.517,.514,2.4,2.9,.814,0.5,2.1,2.7,4.7,1.5,0.1,2.3,2.7,11.0
109,John Williamson\willijo01,SG,24,NYA,76,,29.7,6.8,15.2,.450,0.1,0.6,.190,6.7,14.6,.460,.454,2.5,3.1,.806,0.9,1.6,2.5,2.5,1.0,0.4,2.4,2.9,16.2
110,Skip Wise\wisesk01,PG,20,SAA,2,,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.5,1.0,1.5,0.5,0.0,0.0,1.0,2.0,2.0
111,Willie Wise\wisewi01,SF,28,VIR,46,,29.2,5.4,12.9,.415,0.0,0.1,.000,5.4,12.8,.419,.415,2.9,3.8,.771,1.9,3.8,5.7,2.7,1.2,0.3,2.7,2.9,13.7
112,Joby Wright\wrighjo01,PF,25,TOT,23,,13.3,2.2,4.7,.459,0.0,0.0,,2.2,4.7,.459,.459,0.9,1.7,.553,1.3,1.3,2.6,0.1,0.2,0.2,1.0,2.3,5.3
112,Joby Wright\wrighjo01,PF,25,SDS,10,,10.5,1.6,2.7,.593,0.0,0.0,,1.6,2.7,.593,.593,0.4,1.0,.400,0.7,1.5,2.2,0.0,0.4,0.2,1.1,2.2,3.6
112,Joby Wright\wrighjo01,PF,25,VIR,13,,15.4,2.6,6.3,.415,0.0,0.0,,2.6,6.3,.415,.415,1.3,2.2,.607,1.7,1.2,2.8,0.2,0.1,0.2,1.0,2.5,6.5
